Location,Plot Number,Size,Floor,Accommodation,Possession,Price,Facing,Park Facing,Corner,,,,,,,,,,,
DLF City Phase 3,S25/1,500 square feet,3rd Floor,4 BHK,READY,4.25 crores,NORTH,YES,YES,,,,,,,,,,,
DLF City Phase 3,S25/1,500 square feet,4th Floor,4 BHK,READY,4.95 crores,NORTH,YES,YES,,,,,,,,,,,
South City 1,D144,360 square feet,1st Floor,4 BHK,READY,3.25 crores,NORTHWEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C379,300 square feet,1st Floor,4 BHK,READY,3.25 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,C892,215 square feet,1st Floor,3 BHK,READY,2.45 crores,SOUTH,NO,NO,,,,,,,,,,,
SUSHANT LOK 1,C1177,215 square feet,3rd Floor,3 BHK,READY,1.8 crores,SOUTHWEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C434A,270 square feet,1st Floor,4 BHK,READY,3.25 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C434A,270 square feet,2nd Floor,4 BHK,READY,3.1 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C434A,270 square feet,3rd Floor,4 BHK,READY,3.1 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C434A,270 square feet,4th Floor,4 BHK,READY,3.5 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1526,215 square feet,3rd Floor,3 BHK,READY,2 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1526,215 square feet,4th Floor,3 BHK,READY,2.75 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C1533,215 square feet,3rd Floor,3 BHK,READY,2.25 crores,WEST,NO,YES,,,,,,,,,,,
Sushant Lok 1,C2109A,300 square feet,1st Floor,4 BHK,READY,3.25 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2109A,300 square feet,2nd Floor,4 BHK,READY,3 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2109A,300 square feet,3rd Floor,4 BHK,READY,3 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2109A,300 square feet,4th Floor,4 BHK,READY,3.5 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2112A,300 square feet,1st Floor,4 BHK,READY,3.25 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2112A,300 square feet,2nd Floor,4 BHK,READY,3 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2112A,300 square feet,3rd Floor,4 BHK,READY,3 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2112A,300 square feet,4th Floor,4 BHK,READY,3.5 crores,SOUTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,D200,215 square feet,1st Floor,3 BHK,READY,2.65 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,D200,215 square feet,3rd Floor,3 BHK,READY,2.55 crores,SOUTH,NO,NO,,,,,,,,,,,
Sushant Lok 1,D200,215 square feet,4th Floor,3 BHK,READY,2.95 crores,SOUTH,NO,NO,,,,,,,,,,,
Sector 27,510,263 square feet,3rd Floor,3 BHK,READY,2.25 crores,SOUTH,NO,NO,,,,,,,,,,,
DLF City Phase 3,S24/5,500 square feet,1st Floor,4 BHK,READY,4.5 crores,WEST,NO,NO,,,,,,,,,,,
DLF City Phase 3,S24/5,500 square feet,4th Floor,4 BHK,READY,5.25 crores,WEST,NO,NO,,,,,,,,,,,
Sushant Lok 1,C946,215 square feet,3rd Floor,3 BHK,READY,2.25 crores,NORTH,YES,NO,,,,,,,,,,,
Sushant Lok 1,C2597,465 square feet,1st Floor,4 BHK,READY,4.95 crores,NORTH,YES,YES,,,,,,,,,,,
Sushant Lok 1,C2597,465 square feet,2nd Floor,4 BHK,READY,4.8 crores,NORTH,YES,YES,,,,,,,,,,,
Sushant Lok 1,C2597,465 square feet,3rd Floor,4 BHK,READY,4.8 crores,NORTH,YES,YES,,,,,,,,,,,
Sushant Lok 1,C2597,465 square feet,4th Floor,4 BHK,READY,5.25 crores,NORTH,YES,YES,,,,,,,,,,,
Sector 15 Part 2,915,280 square feet,2nd Floor,3 BHK,READY,2.6 crores,NORTHEAST,NO,NO,,,,,,,,,,,
Sector 15 Part 2,915,280 square feet,4th Floor,3 BHK,READY,2.9 crores,NORTHEAST,NO,NO,,,,,,,,,,,
South City 1,K160,500 square feet,1st Floor,4 BHK,READY,6 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
South City 1,K49,240 square feet,1st Floor,3 BHK,2M,2.75 crores,SOUTHEAST,NO,NO,,,,,,,,,,,
